sku,source_row_number,reasons,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,possible_unit_scale_warning,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,previously_resolved_detected,identical_source_detected,bulk_safety_status,bulk_safety_issues,related_draft_memory_payloads_json
SM245RAL2002,35160,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,"3 Phase, 2 Post Hoist w Signum","3 Phase, 2 Post Hoist w Signum","3 Phase, 2 Post Hoist with Signum","3 Phase, 2 Post Hoist with Signum",0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL3001,35161,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Signal Red,Two Post Hoist Signal Red,Two Post Hoist Signal Red,Two Post Hoist Signal Red,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL5002,35162,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Ultramarine Blu,Two Post Hoist Ultramarine Blu,Two Post Hoist Ultramarine Blue,Two Post Hoist Ultramarine Blue,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL5015,35163,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,2 Post Hoist w/Low ArmsRAL5015,2 Post Hoist w/Low ArmsRAL5015,SM 245 Universal 2 Post Hoist With Low Arms (D) RAL 5015  - KMart Blue,SM 245 Universal 2 Post Hoist With Low Arms (D) RAL 5015  - KMart Blue,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL6001,35164,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL6018,35165,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Green,Two Post Hoist Green,Two Post Hoist Green,Two Post Hoist Green,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL7016,35166,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Anthracite Grey,Two Post Hoist Anthracite Grey,Two Post Hoist Anthracite Grey,Two Post Hoist Anthracite Grey,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL7037,35167,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Grey Yellow,Two Post Hoist Grey Yellow,Two Post Hoist Grey Yellow,Two Post Hoist Grey Yellow,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245RAL9005,35168,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Jet Black,Two Post Hoist Jet Black,Two Post Hoist Jet Black,Two Post Hoist Jet Black,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM270,35170,,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2930.000000,1120.000000,900.000000,2930.0,1120.0,900.0,2.9300,1.1200,0.9000,1680.000000,1680.0000,2.953000,2.953000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM270-BF,35173,,Base Frame Set 1 set = 2 parts,Base Frame Set 1 set = 2 parts,Base Frame Set - 1 Set = 2 pieces - Goes with the SM270 HOIST,Base Frame Set - 1 Set = 2 pieces - Goes with the SM270 HOIST,2000.000000,200.000000,200.000000,2000.0,200.0,200.0,2.0000,0.2000,0.2000,50.000000,50.0000,0.080000,0.080000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM270RAL5015,35180,,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2 Post 7 Tonne Hoist,2930.000000,1120.000000,900.000000,2930.0,1120.0,900.0,2.9300,1.1200,0.9000,1680.000000,1680.0000,2.953000,2.953000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM270RAL7016,35181,,2 Post 7 Tonne Hoist Grey,2 Post 7 Tonne Hoist Grey,2 Post 7 Tonne Hoist Grey,2 Post 7 Tonne Hoist Grey,2930.000000,1120.000000,900.000000,2930.0,1120.0,900.0,2.9300,1.1200,0.9000,1680.000000,1680.0000,2.953000,2.953000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM270RAL9005,35182,,2 Post 7 Tonne Hoist Black,2 Post 7 Tonne Hoist Black,2 Post 7 Tonne Hoist Black,2 Post 7 Tonne Hoist Black,2930.000000,1120.000000,900.000000,2930.0,1120.0,900.0,2.9300,1.1200,0.9000,1680.000000,1680.0000,2.953000,2.953000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300,35183,,Double Scissor Hoist,Double Scissor Hoist,Double Scissor Hoist,Double Scissor Hoist,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300-Q,35184,,Double Scissor Quarantined,Double Scissor Quarantined,Double Scissor Hoist Quarantined,Double Scissor Hoist Quarantined,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300-Q2,35185,,Double Scissor Hoist,Double Scissor Hoist,Double Scissor Hoist Quarantined,Double Scissor Hoist Quarantined,1700.000000,770.000000,970.000000,1700.0,770.0,970.0,1.7000,0.7700,0.9700,88.000000,88.0000,1.270000,1.270000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM30001PH,35186,,Nussbaum Sprinter Single Phase,Nussbaum Sprinter Single Phase,Nussbaum Sprinter Mobile 3000 Single Phase,Nussbaum Sprinter Mobile 3000 Single Phase,1600.000000,2200.000000,500.000000,1600.0,2200.0,500.0,1.6000,2.2000,0.5000,570.000000,570.0000,1.760000,1.760000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM30001PHD,35187,,Nussbaum Sprinter Single Dmgd,Nussbaum Sprinter Single Dmgd,Nussbaum Sprinter Mobile 3000 Single Phase - Damaged,Nussbaum Sprinter Mobile 3000 Single Phase - Damaged,1600.000000,2200.000000,500.000000,1600.0,2200.0,500.0,1.6000,2.2000,0.5000,570.000000,570.0000,1.760000,1.760000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM30003PH,35188,,Nussbaum Sprinter Three Phase,Nussbaum Sprinter Three Phase,Nussbaum Sprinter Mobile 3000 Three Phase,Nussbaum Sprinter Mobile 3000 Three Phase,1600.000000,2200.000000,500.000000,1600.0,2200.0,500.0,1.6000,2.2000,0.5000,570.000000,570.0000,1.760000,1.760000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300A,35189,,Double Scissor Hoist Colours,Double Scissor Hoist Colours,Double Scissor Hoist Auto Stenhoj Colours,Double Scissor Hoist Auto Stenhoj Colours,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300RAL2002,35190,,Double Scissor Hoist Red,Double Scissor Hoist Red,Double Scissor Hoist Red,Double Scissor Hoist Red,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300RAL5002,35191,,Double Scissor Hoist RAL5002,Double Scissor Hoist RAL5002,Double Scissor Hoist RAL5002,Double Scissor Hoist RAL5002,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300RAL5015,35192,,Double Scissor Hoist RAL5015,Double Scissor Hoist RAL5015,Double Scissor Hoist RAL5015,Double Scissor Hoist RAL5015,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300RAL7016,35193,,Double Scissor Hoist Grey,Double Scissor Hoist Grey,Double Scissor Hoist Grey,Double Scissor Hoist Grey,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300RAL9005,35194,,Double Scissor Hoist Black,Double Scissor Hoist Black,Double Scissor Hoist Auto Stenhoj Black,Double Scissor Hoist Auto Stenhoj Black,1700.000000,770.000000,770.000000,1700.0,770.0,770.0,1.7000,0.7700,0.7700,848.000000,848.0000,1.008000,1.008000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM300TK,35195,,SM300 Transverse Kit,SM300 Transverse Kit,SM300 Transverse Kit,SM300 Transverse Kit,1580.000000,340.000000,390.000000,1580.0,340.0,390.0,1.5800,0.3400,0.3900,50.000000,50.0000,0.210000,0.210000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM4000-ARAL2002,35196,,Four Tonne Scissor Hoist Red,Four Tonne Scissor Hoist Red,Four Tonne Scissor Hoist Red,Four Tonne Scissor Hoist Red,4610.000000,700.000000,1700.000000,4610.0,700.0,1700.0,4.6100,0.7000,1.7000,2000.000000,2000.0000,5.486000,5.486000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM4000-ARAL5015,35197,,Four Tonne Scissor Hoist Blue,Four Tonne Scissor Hoist Blue,Four Tonne Scissor Hoist Blue,Four Tonne Scissor Hoist Blue,4610.000000,700.000000,1700.000000,4610.0,700.0,1700.0,4.6100,0.7000,1.7000,2000.000000,2000.0000,5.486000,5.486000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM4000-COLL-A,35198,,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,4800.000000,810.000000,620.000000,4800.0,810.0,620.0,4.8000,0.8100,0.6200,1800.000000,1800.0000,2.411000,2.411000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM4000-COLL-B,35199,,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,4T Scissor Hoist Collingwood,910.000000,610.000000,1130.000000,910.0,610.0,1130.0,0.9100,0.6100,1.1300,80.000000,80.0000,0.627000,0.627000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM4120,35204,DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Four Post Hoist 12T,Four Post Hoist 12T,Four Post Hoist 123T,Four Post Hoist 123T,7300.000000,800.000000,1300.000000,7320.0,800.0,1120.0,7.3200,0.8000,1.1200,3400.000000,3700.0000,7.592000,6.560000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-A,35206,,4 Post 4 Tonne Wheel Alignment,4 Post 4 Tonne Wheel Alignment,Four Post Four Tonne Wheel Alignment,Four Post Four Tonne Wheel Alignment,4450.000000,700.000000,800.000000,4450.0,700.0,800.0,4.4500,0.7000,0.8000,1550.000000,1550.0000,2.492000,2.492000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-A RAL2002,35207,,4 Post 4 Tn Wheel AlignRAL2002,4 Post 4 Tn Wheel AlignRAL2002,Four Post Four Tonne Wheel Alignment RAL2002,Four Post Four Tonne Wheel Alignment RAL2002,4450.000000,700.000000,800.000000,4450.0,700.0,800.0,4.4500,0.7000,0.8000,1550.000000,1550.0000,2.492000,2.492000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-A_RAL9005,35211,,4 Post 4 Tonne W/Align Jet Blk,4 Post 4 Tonne W/Align Jet Blk,Four Post Four Tonne Wheel Alignment Jet Black,Four Post Four Tonne Wheel Alignment Jet Black,4450.000000,700.000000,800.000000,4450.0,700.0,800.0,4.4500,0.7000,0.8000,1550.000000,1550.0000,2.492000,2.492000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-S,35212,,4 Post 4 Tonne Hoist,4 Post 4 Tonne Hoist,4 Post 4 Tonne Hoist,4 Post 4 Tonne Hoist,4600.000000,700.000000,700.000000,4600.0,700.0,700.0,4.6000,0.7000,0.7000,1330.000000,1330.0000,2.254000,2.254000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-S WB-G GAV,35213,,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4600.000000,700.000000,700.000000,4600.0,700.0,700.0,4.6000,0.7000,0.7000,1330.000000,1330.0000,2.254000,2.254000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-S/3PH,35216,,4 Post 4 Tonne Hoist Maroon,4 Post 4 Tonne Hoist Maroon,4 Post 4 Tonne Hoist Maroon,4 Post 4 Tonne Hoist Maroon,4520.000000,620.000000,700.000000,4520.0,620.0,700.0,4.5200,0.6200,0.7000,1200.000000,1200.0000,1.962000,1.962000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-SGALV,35217,,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4 Post 4 Tonne Galv Hoist,4520.000000,620.000000,700.000000,4520.0,620.0,700.0,4.5200,0.6200,0.7000,1200.000000,1200.0000,1.962000,1.962000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-SWB,35218,,4 Post 4 Tonne Wash Bay Hoist,4 Post 4 Tonne Wash Bay Hoist,4 Post 4 Tonne Wash Bay Hoist,4 Post 4 Tonne Wash Bay Hoist,4520.000000,620.000000,700.000000,4520.0,620.0,700.0,4.5200,0.6200,0.7000,1200.000000,1200.0000,1.962000,1.962000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-S_RAL2002,35219,DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,4 Post 4 Tonne Hoist Red,4 Post 4 Tonne Hoist Red,4 Post 4 Tonne Hoist Red,4 Post 4 Tonne Hoist Red,4600.000000,700.000000,700.000000,4520.0,620.0,700.0,4.5200,0.6200,0.7000,1330.000000,1200.0000,2.254000,1.962000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM440-S_RAL9005,35220,,4 Post 4 Tonne Hoist Jet Black,4 Post 4 Tonne Hoist Jet Black,4 Post 4 Tonne Hoist Jet Black,4 Post 4 Tonne Hoist Jet Black,4520.000000,620.000000,700.000000,4520.0,620.0,700.0,4.5200,0.6200,0.7000,1200.000000,1200.0000,1.962000,1.962000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450,35222,,Four Post Hoist - Red,Four Post Hoist - Red,Four Post Hoist- Red,Four Post Hoist- Red,4660.000000,710.000000,1010.000000,4660.0,710.0,1010.0,4.6600,0.7100,1.0100,1760.000000,1760.0000,3.342000,3.342000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-A,35223,,Four Post Hoist -,Four Post Hoist -,Four Post Hoist - Colour Ref in Serial Number,Four Post Hoist - Colour Ref in Serial Number,4700.000000,750.000000,1050.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.701000,3.701000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-A/3PH,35226,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Four Post Hoist - Red,Four Post Hoist - Red,Four Post Hoist - Red,Four Post Hoist - Red,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.702000,3.702000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-ARAL2002,35227,,Four Post Hoist - RAL2002,Four Post Hoist - RAL2002,Four Post Hoist - RAL2002,Four Post Hoist - RAL2002,4700.000000,750.000000,1050.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.701000,3.701000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-ARAL5002,35228,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Four Post Hoist - RAL5002,Four Post Hoist - RAL5002,Four Post Hoist - RAL5002,Four Post Hoist - RAL5002,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.702000,3.702000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-ARAL5015,35229,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Four Post Hoist - Blue,Four Post Hoist - Blue,Four Post Hoist - Blue,Four Post Hoist - Blue,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.702000,3.702000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-ARAL7016,35230,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Four Post Hoist - Grey,Four Post Hoist - Grey,Four Post Hoist - Grey,Four Post Hoist - Grey,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.702000,3.702000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM450-ARAL9005,35231,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Four Post Hoist - Black,Four Post Hoist - Black,Four Post Hoist - Black,Four Post Hoist - Black,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.702000,3.702000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460,35248,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,0.000000,0.000000,0.000000,5600.0,700.0,1220.0,5.6000,0.7000,1.2200,2200.000000,2200.0000,4.782000,4.782000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-A,35249,,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,5600.000000,740.000000,1050.000000,5600.0,740.0,1050.0,5.6000,0.7400,1.0500,2200.000000,2200.0000,4.351000,4.351000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-A/RAL2002,35251,DIMENSIONS_DIFFERENT | CUBIC_DIFFERENT,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,5600.000000,700.000000,1150.000000,5600.0,700.0,1220.0,5.6000,0.7000,1.2200,2200.000000,2200.0000,4.508000,4.782000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-S,35257,,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,5600.000000,740.000000,1050.000000,5600.0,740.0,1050.0,5.6000,0.7400,1.0500,2200.000000,2200.0000,4.351000,4.351000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-S/RAL2002,35265,,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,4 Post 6 Tonne Hoist,5600.000000,700.000000,1000.000000,5600.0,700.0,1000.0,5.6000,0.7000,1.0000,2200.000000,2200.0000,3.920000,3.920000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-SRAL5002,35266,,4 Post 6 Tonne Hoist RAL 5002,4 Post 6 Tonne Hoist RAL 5002,4 Post 6 Tonne Hoist RAL 5002,4 Post 6 Tonne Hoist RAL 5002,5600.000000,700.000000,1220.000000,5600.0,700.0,1220.0,5.6000,0.7000,1.2200,2200.000000,2200.0000,4.782000,4.782000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-SRAL7016,35267,,4 Post 6 Tonne Hoist RAL 7016,4 Post 6 Tonne Hoist RAL 7016,4 Post 6 Tonne Hoist RAL 7016,4 Post 6 Tonne Hoist RAL 7016,5600.000000,700.000000,1220.000000,5600.0,700.0,1220.0,5.6000,0.7000,1.2200,2200.000000,2200.0000,4.782000,4.782000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM460-SRAL9005,35268,,4 Post 6 Tonne Hoist RAL 9005,4 Post 6 Tonne Hoist RAL 9005,4 Post 6 Tonne Hoist RAL 9005,4 Post 6 Tonne Hoist RAL 9005,5600.000000,700.000000,1220.000000,5600.0,700.0,1220.0,5.6000,0.7000,1.2200,2200.000000,2200.0000,4.782000,4.782000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM755,35285,,Mobile Columns,Mobile Columns,Mobile 755 (4 Columns = 1 Set/Item,Mobile 755 (4 Columns = 1 Set/Item,1150.000000,1230.000000,2540.000000,1150.0,1230.0,2540.0,1.1500,1.2300,2.5400,541.000000,541.0000,3.538000,3.538000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SMC30CABLED,35309,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Cabled Mobile Column 4 per set,Cabled Mobile Column 4 per set,Cabled Mobile Column 4 per set,Cabled Mobile Column 4 per set,0.000000,0.000000,0.000000,1150.0,1230.0,2550.0,1.1500,1.2300,2.5500,2164.000000,2164.0000,14.430000,14.430000,4.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SMC30CABLEDF,35310,,Cabled Mobile Column Faulty,Cabled Mobile Column Faulty,Cabled Mobile Column Faulty,Cabled Mobile Column Faulty,1150.000000,1230.000000,2550.000000,1150.0,1230.0,2550.0,1.1500,1.2300,2.5500,541.000000,541.0000,3.607000,3.607000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SP-SM270-P-1,35491,,Spare Part - SM270-P-1 Column,Spare Part - SM270-P-1 Column,Pallet,Pallet,2930.000000,1120.000000,900.000000,2930.0,1120.0,900.0,2.9300,1.1200,0.9000,1500.000000,1500.0000,2.953000,2.953000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
UL35NTRAL7016,37006,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Uni Lift 3500 NT AMS w/ Latch,Uni Lift 3500 NT AMS w/ Latch,Uni Lift 3500 NT AMS (with latch) Above-Ground 4500,Uni Lift 3500 NT AMS (with latch) Above-Ground 4500,0.000000,0.000000,0.000000,4950.0,770.0,770.0,4.9500,0.7700,0.7700,2800.000000,2800.0000,6.206000,6.206000,3.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
